filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
DSC_0345.JPG,16419706,"{""1"":""-""}",235,0,"{""name"":""polyline"",""all_points_x"":[1444,1],""all_points_y"":[541,532]}","{}"
DSC_0345.JPG,16419706,"{""1"":""-""}",235,1,"{""name"":""polyline"",""all_points_x"":[1144,1444],""all_points_y"":[61,537]}","{}"
DSC_0345.JPG,16419706,"{""1"":""-""}",235,2,"{""name"":""polyline"",""all_points_x"":[1146,4718],""all_points_y"":[57,52]}","{}"
DSC_0345.JPG,16419706,"{""1"":""-""}",235,3,"{""name"":""polyline"",""all_points_x"":[4717,4490],""all_points_y"":[57,546]}","{}"
DSC_0345.JPG,16419706,"{""1"":""-""}",235,4,"{""name"":""polyline"",""all_points_x"":[4495,6197],""all_points_y"":[546,542]}","{}"
DSC_0345.JPG,16419706,"{""1"":""-""}",235,5,"{""name"":""polyline"",""all_points_x"":[195,75],""all_points_y"":[886,1195]}","{}"
DSC_0345.JPG,16419706,"{""1"":""-""}",235,6,"{""name"":""polyline"",""all_points_x"":[149,26],""all_points_y"":[895,1193]}","{}"
DSC_0345.JPG,16419706,"{""1"":""-""}",235,7,"{""name"":""polyline"",""all_points_x"":[419,307],""all_points_y"":[885,1195]}","{}"
DSC_0345.JPG,16419706,"{""1"":""-""}",235,8,"{""name"":""polyline"",""all_points_x"":[662,560],""all_points_y"":[885,1195]}","{}"
DSC_0345.JPG,16419706,"{""1"":""-""}",235,9,"{""name"":""polyline"",""all_points_x"":[265,557],""all_points_y"":[1218,1220]}","{}"
DSC_0345.JPG,16419706,"{""1"":""-""}",235,10,"{""name"":""polyline"",""all_points_x"":[274,565],""all_points_y"":[1196,1197]}","{}"
DSC_0345.JPG,16419706,"{""1"":""-""}",235,11,"{""name"":""polyline"",""all_points_x"":[392,587],""all_points_y"":[1103,1103]}","{}"
DSC_0345.JPG,16419706,"{""1"":""-""}",235,12,"{""name"":""polyline"",""all_points_x"":[435,625],""all_points_y"":[987,986]}","{}"
DSC_0345.JPG,16419706,"{""1"":""-""}",235,13,"{""name"":""polyline"",""all_points_x"":[546,445],""all_points_y"":[896,1195]}","{}"
DSC_0345.JPG,16419706,"{""1"":""-""}",235,14,"{""name"":""polyline"",""all_points_x"":[606,505],""all_points_y"":[893,1195]}","{}"
DSC_0345.JPG,16419706,"{""1"":""-""}",235,15,"{""name"":""polyline"",""all_points_x"":[436,699],""all_points_y"":[752,750]}","{}"
DSC_0345.JPG,16419706,"{""1"":""-""}",235,16,"{""name"":""polyline"",""all_points_x"":[768,831],""all_points_y"":[751,751]}","{}"
DSC_0345.JPG,16419706,"{""1"":""-""}",235,17,"{""name"":""polyline"",""all_points_x"":[311,364],""all_points_y"":[753,754]}","{}"
DSC_0345.JPG,16419706,"{""1"":""-""}",235,18,"{""name"":""polyline"",""all_points_x"":[1171,897],""all_points_y"":[752,752]}","{}"
DSC_0345.JPG,16419706,"{""1"":""-""}",235,19,"{""name"":""polyline"",""all_points_x"":[1234,1302],""all_points_y"":[752,752]}","{}"
DSC_0345.JPG,16419706,"{""1"":""-""}",235,20,"{""name"":""polyline"",""all_points_x"":[888,796],""all_points_y"":[883,1195]}","{}"
DSC_0345.JPG,16419706,"{""1"":""-""}",235,21,"{""name"":""polyline"",""all_points_x"":[1134,1049],""all_points_y"":[885,1198]}","{}"
DSC_0345.JPG,16419706,"{""1"":""-""}",235,22,"{""name"":""polyline"",""all_points_x"":[758,1054],""all_points_y"":[1221,1219]}","{}"
DSC_0345.JPG,16419706,"{""1"":""-""}",235,23,"{""name"":""polyline"",""all_points_x"":[765,1056],""all_points_y"":[1197,1200]}","{}"
DSC_0345.JPG,16419706,"{""1"":""-""}",235,24,"{""name"":""polyline"",""all_points_x"":[988,902],""all_points_y"":[895,1195]}","{}"
DSC_0345.JPG,16419706,"{""1"":""-""}",235,25,"{""name"":""polyline"",""all_points_x"":[1069,987],""all_points_y"":[897,1198]}","{}"
DSC_0345.JPG,16419706,"{""1"":""-""}",235,26,"{""name"":""polyline"",""all_points_x"":[905,1105],""all_points_y"":[984,986]}","{}"
DSC_0345.JPG,16419706,"{""1"":""-""}",235,27,"{""name"":""polyline"",""all_points_x"":[869,1070],""all_points_y"":[1102,1103]}","{}"
DSC_0345.JPG,16419706,"{""1"":""-""}",235,28,"{""name"":""polyline"",""all_points_x"":[729,636],""all_points_y"":[1414,1725]}","{}"
DSC_0345.JPG,16419706,"{""1"":""-""}",235,29,"{""name"":""polyline"",""all_points_x"":[988,905],""all_points_y"":[1413,1726]}","{}"
DSC_0345.JPG,16419706,"{""1"":""-""}",235,30,"{""name"":""polyline"",""all_points_x"":[863,775],""all_points_y"":[1417,1725]}","{}"
DSC_0345.JPG,16419706,"{""1"":""-""}",235,31,"{""name"":""polyline"",""all_points_x"":[946,865],""all_points_y"":[1424,1725]}","{}"
DSC_0345.JPG,16419706,"{""1"":""-""}",235,32,"{""name"":""polyline"",""all_points_x"":[746,960],""all_points_y"":[1508,1509]}","{}"
DSC_0345.JPG,16419706,"{""1"":""-""}",235,33,"{""name"":""polyline"",""all_points_x"":[712,929],""all_points_y"":[1623,1626]}","{}"
DSC_0345.JPG,16419706,"{""1"":""-""}",235,34,"{""name"":""polyline"",""all_points_x"":[228,113],""all_points_y"":[1409,1723]}","{}"
DSC_0345.JPG,16419706,"{""1"":""-""}",235,35,"{""name"":""polyline"",""all_points_x"":[486,385],""all_points_y"":[1413,1722]}","{}"
DSC_0345.JPG,16419706,"{""1"":""-""}",235,36,"{""name"":""polyline"",""all_points_x"":[366,259],""all_points_y"":[1413,1725]}","{}"
DSC_0345.JPG,16419706,"{""1"":""-""}",235,37,"{""name"":""polyline"",""all_points_x"":[453,350],""all_points_y"":[1418,1723]}","{}"
DSC_0345.JPG,16419706,"{""1"":""-""}",235,38,"{""name"":""polyline"",""all_points_x"":[243,453],""all_points_y"":[1506,1508]}","{}"
DSC_0345.JPG,16419706,"{""1"":""-""}",235,39,"{""name"":""polyline"",""all_points_x"":[203,415],""all_points_y"":[1622,1623]}","{}"
DSC_0345.JPG,16419706,"{""1"":""-""}",235,40,"{""name"":""polyline"",""all_points_x"":[823,698],""all_points_y"":[2029,2498]}","{}"
DSC_0345.JPG,16419706,"{""1"":""-""}",235,41,"{""name"":""polyline"",""all_points_x"":[543,404],""all_points_y"":[2026,2495]}","{}"
DSC_0345.JPG,16419706,"{""1"":""-""}",235,42,"{""name"":""polyline"",""all_points_x"":[691,558],""all_points_y"":[2020,2485]}","{}"
DSC_0345.JPG,16419706,"{""1"":""-""}",235,43,"{""name"":""polyline"",""all_points_x"":[781,656],""all_points_y"":[2024,2489]}","{}"
DSC_0345.JPG,16419706,"{""1"":""-""}",235,44,"{""name"":""polyline"",""all_points_x"":[563,795],""all_points_y"":[2120,2120]}","{}"
DSC_0345.JPG,16419706,"{""1"":""-""}",235,45,"{""name"":""polyline"",""all_points_x"":[532,765],""all_points_y"":[2234,2238]}","{}"
DSC_0345.JPG,16419706,"{""1"":""-""}",235,46,"{""name"":""polyline"",""all_points_x"":[490,726],""all_points_y"":[2370,2373]}","{}"
